company_name,industry,valuation,jobs_url
Roze,Robotics,~$100B,https://www.google.com/search?q=Roze+careers
Thinking Machines Lab,Frontier lab,~$50B,https://www.google.com/search?q=Thinking+Machines+Lab+careers
Project Prometheus,Robotics,~$38B,https://www.google.com/search?q=Project+Prometheus+careers
SSI (Safe Superintelligence),Frontier lab,$32B,https://www.google.com/search?q=SSI+%28Safe+Superintelligence%29+careers
Reflection AI,Frontier lab / open source,~$25B,https://www.google.com/search?q=Reflection+AI+careers
Skild AI,Robotics,~$14B,https://www.google.com/search?q=Skild+AI+careers
Poolside,Frontier lab / Coding,$12B,https://www.google.com/search?q=Poolside+careers
Physical Intelligence,Robotics,~$11B,https://www.google.com/search?q=Physical+Intelligence+careers
Periodic Labs,Bio + science,~$7B,https://www.google.com/search?q=Periodic+Labs+careers
Ineffable Intelligence,Frontier lab,$5.1B,https://www.google.com/search?q=Ineffable+Intelligence+careers
World Labs,World models,~$5B,https://www.google.com/search?q=World+Labs+careers
Recursive Superintelligence,Frontier lab,~$4.5B,https://www.google.com/search?q=Recursive+Superintelligence+careers
AMI Labs,World models,~$4.5B,https://www.google.com/search?q=AMI+Labs+careers
Unconventional AI,Compute,$4.5B,https://www.google.com/search?q=Unconventional+AI+careers
Humans&,Frontier lab,$4.5B,https://www.google.com/search?q=Humans%26+careers
Core Automation,Frontier lab + robotics,~$4B,https://www.google.com/search?q=Core+Automation+careers
Inflection AI,Enterprise AI,~$4B,https://www.google.com/search?q=Inflection+AI+careers
Hark,Enterprise AI,~$4B,https://www.google.com/search?q=Hark+careers
Recursive,Hardware + chip design,$4B,https://www.google.com/search?q=Recursive+careers
Xaira Therapeutics,Bio + drug discovery,~$2.7-4B,https://www.google.com/search?q=Xaira+Therapeutics+careers
Isomorphic Labs,Bio + drug discovery,$3.5B,https://www.google.com/search?q=Isomorphic+Labs+careers
Decart,World models,$3.1B,https://www.google.com/search?q=Decart+careers
Sakana AI,Frontier lab + efficiency,$2.65B,https://www.google.com/search?q=Sakana+AI+careers
General Intuition,World models,~$2B,https://www.google.com/search?q=General+Intuition+careers
Liquid AI,Frontier lab + models,$2B,https://www.google.com/search?q=Liquid+AI+careers
H (The H Company),Enterprise AI,$2B,https://www.google.com/search?q=H+%28The+H+Company%29+careers
Rhoda AI,Robotics,$1.7B,https://www.google.com/search?q=Rhoda+AI+careers
Axiom Math,Math AI,~$1.6B,https://www.google.com/search?q=Axiom+Math+careers
Flapping Airplanes,Frontier lab,~$1.5B,https://www.google.com/search?q=Flapping+Airplanes+careers
Magic,Frontier lab + coding,$1.5B,https://www.google.com/search?q=Magic+careers
Harmonic,Math,$1.45B,https://www.google.com/search?q=Harmonic+careers
AI21 Labs,Enterprise AI,$1.4B,https://www.google.com/search?q=AI21+Labs+careers
Lila Sciences,Bio + science,>$1.3B,https://www.google.com/search?q=Lila+Sciences+careers
Chai Discovery,Bio + drug discovery,$1.3B,https://www.google.com/search?q=Chai+Discovery+careers
Goodfire,Interpretability,$1.25B,https://www.google.com/search?q=Goodfire+careers
EvolutionaryScale,Bio + drug discovery,>$1B,https://www.google.com/search?q=EvolutionaryScale+careers
Moonvalley,Video,$1B,https://www.google.com/search?q=Moonvalley+careers
Aaru,Simulation,$1B,https://www.google.com/search?q=Aaru+careers
Simile,Simulation,$1B,https://www.google.com/search?q=Simile+careers
Ndea,Frontier lab + hyper systems,<$1B,https://www.google.com/search?q=Ndea+careers
Imbue,Enterprise AI,$1B,https://www.google.com/search?q=Imbue+careers
AAI,Frontier lab,>$1B,https://www.google.com/search?q=AAI+careers
Reka,Frontier lab + multimodal,$1B,https://www.google.com/search?q=Reka+careers
Kyutai,Voice,>$1B,https://www.google.com/search?q=Kyutai+careers
Prime Intellect,Decentralized AI training,~>$1B,https://www.google.com/search?q=Prime+Intellect+careers
Arcee AI,Frontier lab + open source,$1B,https://www.google.com/search?q=Arcee+AI+careers
Essential AI,Frontier lab + open source,$1B,https://www.google.com/search?q=Essential+AI+careers
Zyphra,Frontier lab + open source,$1B,https://www.google.com/search?q=Zyphra+careers
Mirendil,Frontier lab + research,$1B,https://www.google.com/search?q=Mirendil+careers
Nous Research,Agents,$1B,https://www.google.com/search?q=Nous+Research+careers
Merge Labs,Brain-computer interface,$850M,https://www.google.com/search?q=Merge+Labs+careers
Inference,Inference,$800M,https://www.google.com/search?q=Inference+careers
Isara,Frontier lab + future prediction,$650M,https://www.google.com/search?q=Isara+careers
Inception Labs,Frontier lab + diffusion LLMs,~$500M,https://www.google.com/search?q=Inception+Labs+careers
Elorian,Frontier lab + multimodal,~$500M,https://www.google.com/search?q=Elorian+careers
Standard Intelligence,Frontier lab + computer use,$500M,https://www.google.com/search?q=Standard+Intelligence+careers
Adaption Labs,Frontier lab + coding,~$500M,https://www.google.com/search?q=Adaption+Labs+careers
Poetiq,Agents,$500M,https://www.google.com/search?q=Poetiq+careers
Genesis AI,Robotics,~$500M,https://www.google.com/search?q=Genesis+AI+careers
CuspAI,Bio + science,~$500M,https://www.google.com/search?q=CuspAI+careers
Radix AI,Inference,$400M,https://www.google.com/search?q=Radix+AI+careers
QuTwo,Quantum,$380M,https://www.google.com/search?q=QuTwo+careers
Sooth Labs,Frontier lab + future prediction,$335M,https://www.google.com/search?q=Sooth+Labs+careers
